Geography Type,Geography,Age Range,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Year,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
National Estimates,National,12-17 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,53.6,47.6 - 59.6,672,0
National Estimates,National,12-17 years,Sex,Male,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,58.4,54.2 - 62.6,"1,475",0
National Estimates,National,12-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,61.1,53.5 - 68.8,485,0
National Estimates,National,12-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,44.4,37.6 - 51.2,486,0
National Estimates,National,12-17 years,Age,16 � 17 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,69.7,64.8 - 74.7,801,0
National Estimates,National,6 months-17 years,Age,16 � 17 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,69.7,64.8 - 74.7,801,0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.5,1.3 - 3.6,"2,965",0
National Estimates,National,12-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,50.8,42.2 - 59.3,319,0
National Estimates,National,12-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,55.7,51.7 - 59.7,"1,572",0
National Estimates,National,12-17 years,Race/Ethnicity,"Black, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,18,10.1 - 25.9,179,0
National Estimates,National,12-17 years,All children 12 � 17 years,All children 12 � 17 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,25.5,22.3 - 28.8,"1,909",0
National Estimates,National,12-17 years,Metropolitan statistical area,Suburban,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,25.2,20.7 - 29.6,868,0
National Estimates,National,12-17 years,Health Insurance,Other Insurance,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,28.2,24.1 - 32.2,"1,342",0
National Estimates,National,12-17 years,Race/Ethnicity,Hispanic/Latino,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,25,17.7 - 32.4,422,0
National Estimates,National,12-17 years,Metropolitan statistical area,Urban,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,27.4,21.6 - 33.2,582,0
National Estimates,National,12-17 years,Health Insurance,Uninsured,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,24.5,3.5 - 45.5,41,0
National Estimates,National,12-17 years,Poverty and Income,"At or above poverty, income >= $75k",Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,27.6,23.1 - 32.1,"1,022",0
National Estimates,National,12-17 years,Poverty and Income,"Above poverty, income < $75k",Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,18.8,12.5 - 25.1,380,0
National Estimates,National,12-17 years,Sex,Male,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,29.5,24.5 - 34.6,935,0
National Estimates,National,12-17 years,Age,12 � 15 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,25.3,21.4 - 29.3,"1,319",0
National Estimates,National,12-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,31.9,23.6 - 40.2,320,0
National Estimates,National,5-11 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,36.3,31.4 - 41.1,"1,156",0
National Estimates,National,5-11 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,29.3,20.3 - 38.2,252,0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,32.8,29.9 - 35.7,"2,965",0
National Estimates,National,12-17 years,Race/Ethnicity,Multi,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,24,15.0 - 32.9,319,0
National Estimates,National,12-17 years,Health Insurance,Any Medicaid,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,20.9,15.3 - 26.5,501,0
National Estimates,National,12-17 years,Metropolitan statistical area,Rural,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,23.4,14.5 - 32.4,232,0
National Estimates,National,12-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,19.2,7.9 - 30.4,187,0
National Estimates,National,12-17 years,Race/Ethnicity,"White, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,27.9,23.5 - 32.3,970,0
National Estimates,National,12-17 years,Sex,Female,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,21.4,17.4 - 25.4,964,0
National Estimates,National,12-17 years,Age,16 � 17 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),May 28 - June 30,2023,Monthly,25.8,20.3 - 31.4,590,0
National Estimates,National,6 months-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,4.2,2.3 - 6.2,"1,180",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.1,2.3 - 3.9,"5,651",0
National Estimates,National,6 months-17 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.8,2.2 - 3.4,"8,117",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.7,2.4 - 4.9,"2,475",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.9,2.8 - 5.1,"3,841",0
National Estimates,National,6 months-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,4.8,0.5 - 9.1,431,0
National Estimates,National,6 months-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.7,2.0 - 3.3,"5,956",0
National Estimates,National,6 months-17 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.4,2.4 - 4.5,"2,844",0
National Estimates,National,6 months-17 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.4,2.6 - 4.3,"6,202",0
National Estimates,National,6 months-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,1.7,0.6 - 2.8,"2,126",0
National Estimates,National,6 months-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.4,1.6 - 3.2,"5,846",0
National Estimates,National,6 months-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.4,1.2 - 3.6,"2,121",0
National Estimates,National,6 months-17 years,All children 6 months � 17 years,All children 6 months � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.3,2.7 - 3.9,"12,183",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.5,1.7 - 5.2,"1,916",0
National Estimates,National,6 months-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.6,2.5 - 4.8,"3,341",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.6,1.4 - 3.8,"1,834",0
National Estimates,National,6 months-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,6.2,3.6 - 8.8,"1,262",0
National Estimates,National,6 months-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.8,2.1 - 3.6,"6,434",0
National Estimates,National,6 months-17 years,Age,6 months � 4 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,7.8,6.1 - 9.4,"3,410",0
National Estimates,National,6 months-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,41.1,36.6 - 45.5,"1,180",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,44,41.8 - 46.3,"5,651",0
National Estimates,National,6 months-17 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,42.5,40.5 - 44.5,"8,117",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,36.6,33.2 - 40.0,"2,475",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,37.9,35.1 - 40.6,"3,841",0
National Estimates,National,6 months-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,40,32.2 - 47.7,431,0
National Estimates,National,6 months-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,41.3,38.9 - 43.6,"5,956",0
National Estimates,National,6 months-17 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,50.5,47.3 - 53.6,"2,844",0
National Estimates,National,5-17 years,Age,16 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,0.4,0.0 - 0.8,801,0
National Estimates,National,6 months-4 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,12.9,8.8 - 17.1,544,0
National Estimates,National,6 months-17 years,Sex,Male,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,44.6,42.4 - 46.8,"6,202",0
National Estimates,National,6 months-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,34.9,31.3 - 38.6,"2,126",0
National Estimates,National,6 months-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,42,38.2 - 45.9,"2,121",0
National Estimates,National,6 months-17 years,All children 6 months � 17 years,All children 6 months � 17 years,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,43.9,42.4 - 45.5,"12,183",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,40.1,35.4 - 44.7,"1,916",0
National Estimates,National,6 months-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,46.5,43.6 - 49.3,"3,341",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,60.4,56.5 - 64.3,"1,834",0
National Estimates,National,6 months-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,42.7,38.1 - 47.3,"1,262",0
National Estimates,National,6 months-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,49.5,47.3 - 51.6,"6,434",0
National Estimates,National,6 months-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,50.9,48.5 - 53.2,"5,846",0
National Estimates,National,6 months-17 years,Age,6 months � 4 years,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,51.4,48.4 - 54.4,"3,410",0
National Estimates,National,6 months-17 years,Sex,Female,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,43.4,41.1 - 45.7,"5,915",0
National Estimates,National,6 months-17 years,Age,16 � 17 years,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 28 - June 30,2023,Monthly,23.3,18.8 - 27.8,801,0
National Estimates,National,6 months-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,22,18.2 - 25.7,"1,180",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,15.8,14.0 - 17.5,"5,651",0
National Estimates,National,6 months-17 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,12.5,11.1 - 13.8,"8,117",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,21.6,18.7 - 24.6,"2,475",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,17.9,15.7 - 20.1,"3,841",0
National Estimates,National,6 months-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,24.3,16.6 - 31.9,431,0
National Estimates,National,6 months-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,12.1,10.5 - 13.7,"5,956",0
National Estimates,National,6 months-17 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,17.5,15.0 - 20.0,"2,844",0
National Estimates,National,6 months-17 years,Sex,Male,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,15.7,14.0 - 17.4,"6,202",0
National Estimates,National,6 months-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,8.3,6.1 - 10.6,"2,126",0
National Estimates,National,6 months-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,16.6,13.6 - 19.5,"2,121",0
National Estimates,National,6 months-17 years,All children 6 months � 17 years,All children 6 months � 17 years,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,15.8,14.6 - 17.1,"12,183",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,14.9,11.5 - 18.4,"1,916",0
National Estimates,National,6 months-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,19.9,17.5 - 22.3,"3,341",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,11.2,8.7 - 13.7,"1,834",0
National Estimates,National,6 months-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,23.1,19.0 - 27.3,"1,262",0
National Estimates,National,6 months-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,11.2,9.7 - 12.6,"6,434",0
National Estimates,National,6 months-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,13.8,12.0 - 15.5,"5,846",0
National Estimates,National,6 months-17 years,Age,6 months � 4 years,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,30.8,27.9 - 33.7,"3,410",0
National Estimates,National,6 months-17 years,Sex,Female,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,15.8,14.0 - 17.6,"5,915",0
National Estimates,National,6 months-17 years,Age,16 � 17 years,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 28 - June 30,2023,Monthly,6.6,3.4 - 9.8,801,0
National Estimates,National,6 months-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,32.7,28.8 - 36.7,"1,180",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,37.1,35.0 - 39.2,"5,651",0
National Estimates,National,6 months-17 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,42.2,40.3 - 44.1,"8,117",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,38.1,34.7 - 41.4,"2,475",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,40.3,37.6 - 43.0,"3,841",0
National Estimates,National,6 months-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,31,23.4 - 38.6,431,0
National Estimates,National,6 months-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,44,41.7 - 46.3,"5,956",0
National Estimates,National,6 months-17 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,28.6,25.9 - 31.3,"2,844",0
National Estimates,National,6 months-17 years,Sex,Male,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,36.3,34.2 - 38.4,"6,202",0
National Estimates,National,6 months-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,55.1,51.4 - 58.7,"2,126",0
National Estimates,National,6 months-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,39,35.4 - 42.6,"2,121",0
National Estimates,National,6 months-17 years,All children 6 months � 17 years,All children 6 months � 17 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,36.9,35.4 - 38.4,"12,183",0
National Estimates,National,6 months-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,41.5,37.0 - 46.0,"1,916",0
National Estimates,National,6 months-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,33,30.9 - 35.0,"5,846",0
National Estimates,National,6 months-17 years,Age,6 months � 4 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,10.1,8.8 - 11.3,"3,410",0
National Estimates,National,6 months-17 years,Sex,Female,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,37.6,35.4 - 39.7,"5,915",0
National Estimates,National,6 months-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,30,27.4 - 32.5,"3,341",0
National Estimates,National,6 months-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,25.8,22.4 - 29.2,"1,834",0
National Estimates,National,6 months-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,28,23.9 - 32.0,"1,262",0
National Estimates,National,6 months-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 28 - June 30,2023,Monthly,36.6,34.6 - 38.5,"6,434",0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,5.2,1.6 - 8.8,574,0
National Estimates,National,5-11 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,1.8,0.9 - 2.7,"2,800",0
National Estimates,National,5-11 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,1.4,0.8 - 2.0,"4,033",0
National Estimates,National,5-11 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,1.6,0.5 - 2.6,"1,156",0
National Estimates,National,5-11 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.2,1.4 - 4.9,"1,785",0
National Estimates,National,5-11 years,All children 5 � 11 years,All children 5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.4,1.6 - 3.2,"5,846",0
National Estimates,National,5-11 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,5.4,0.0 - 11.3,252,0
National Estimates,National,5-11 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,0.8,0.4 - 1.3,"2,799",0
National Estimates,National,5-11 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.1,0.8 - 3.4,"1,398",0
National Estimates,National,5-11 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,1.7,0.2 - 3.1,"1,082",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,3.9,1.8 - 6.0,"1,416",0
National Estimates,National,5-11 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 28 - June 30,2023,Monthly,2.8,0.7 - 5.0,885,0
